OrphaCode,DiseaseName,PrevalenceType,PrevalenceQualification,PrevalenceClass,ValMoy,PrevalenceGeographic
213504,Adenocarcinoma of ovary,Annual incidence,Value and class,1-9 / 100 000,6.09,United Kingdom
175,Cartilage-hair hypoplasia,Point prevalence,Value and class,>1 / 1000,150.0,Specific population
175,Cartilage-hair hypoplasia,Prevalence at birth,Value and class,1-9 / 100 000,4.34,Finland
175,Cartilage-hair hypoplasia,Point prevalence,Class only,Unknown,0.0,Worldwide
209,Cutis laxa,Prevalence at birth,Value and class,1-9 / 1 000 000,0.1,Europe
209,Cutis laxa,Point prevalence,Class only,Unknown,0.0,Worldwide
42,Medium chain acyl-CoA dehydrogenase deficiency,Prevalence at birth,Value and class,1-5 / 10 000,12.0,Europe
42,Medium chain acyl-CoA dehydrogenase deficiency,Prevalence at birth,Value and class,1-5 / 10 000,16.1,Germany
42,Medium chain acyl-CoA dehydrogenase deficiency,Prevalence at birth,Value and class,1-9 / 100 000,7.25,United Kingdom
42,Medium chain acyl-CoA dehydrogenase deficiency,Prevalence at birth,Value and class,1-9 / 100 000,8.5,Portugal
42,Medium chain acyl-CoA dehydrogenase deficiency,Prevalence at birth,Value and class,1-9 / 100 000,4.8,Spain
42,Medium chain acyl-CoA dehydrogenase deficiency,Prevalence at birth,Value and class,1-5 / 10 000,11.49,Netherlands
42,Medium chain acyl-CoA dehydrogenase deficiency,Prevalence at birth,Value and class,1-9 / 100 000,4.3,Canada
42,Medium chain acyl-CoA dehydrogenase deficiency,Prevalence at birth,Value and class,1-9 / 100 000,5.26,Australia
42,Medium chain acyl-CoA dehydrogenase deficiency,Prevalence at birth,Value and class,1-9 / 100 000,1.96,Japan
42,Medium chain acyl-CoA dehydrogenase deficiency,Prevalence at birth,Value and class,1-9 / 1 000 000,0.38,"Taiwan, Province of China"
42,Medium chain acyl-CoA dehydrogenase deficiency,Prevalence at birth,Value and class,1-5 / 10 000,11.1,Denmark
42,Medium chain acyl-CoA dehydrogenase deficiency,Prevalence at birth,Value and class,1-9 / 100 000,6.3,Greece
42,Medium chain acyl-CoA dehydrogenase deficiency,Prevalence at birth,Value and class,1-9 / 100 000,5.85,United States
42,Medium chain acyl-CoA dehydrogenase deficiency,Point prevalence,Value and class,1-9 / 100 000,6.85,Worldwide
42,Medium chain acyl-CoA dehydrogenase deficiency,Prevalence at birth,Value and class,1-9 / 100 000,4.02,Austria
42,Medium chain acyl-CoA dehydrogenase deficiency,Prevalence at birth,Value and class,1-9 / 100 000,4.35,Italy
42,Medium chain acyl-CoA dehydrogenase deficiency,Prevalence at birth,Value and class,1-9 / 100 000,1.0,Israel
42,Medium chain acyl-CoA dehydrogenase deficiency,Prevalence at birth,Value and class,1-9 / 1 000 000,0.5,Specific population
42,Medium chain acyl-CoA dehydrogenase deficiency,Prevalence at birth,Value and class,1-9 / 100 000,4.5,Czech Republic
213557,Salivary gland type cancer of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.05,Europe
213557,Salivary gland type cancer of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.038,Austria
213557,Salivary gland type cancer of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.095,Belgium
213557,Salivary gland type cancer of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.024,Bulgaria
213557,Salivary gland type cancer of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.014,Croatia
213557,Salivary gland type cancer of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.068,Czech Republic
213557,Salivary gland type cancer of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.024,Finland
213557,Salivary gland type cancer of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.077,Germany
213557,Salivary gland type cancer of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.037,Ireland
213557,Salivary gland type cancer of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.075,Italy
213557,Salivary gland type cancer of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.043,Latvia
213557,Salivary gland type cancer of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.017,Lithuania
213557,Salivary gland type cancer of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.031,Malta
213557,Salivary gland type cancer of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.06,Norway
213557,Salivary gland type cancer of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.013,Poland
213557,Salivary gland type cancer of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.039,Portugal
213557,Salivary gland type cancer of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.019,Slovakia
213557,Salivary gland type cancer of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.044,Slovenia
213557,Salivary gland type cancer of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.054,Spain
213557,Salivary gland type cancer of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.09,Switzerland
213557,Salivary gland type cancer of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.064,Netherlands
213557,Salivary gland type cancer of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.053,United Kingdom
213557,Salivary gland type cancer of the breast,Annual incidence,Value and class,1-9 / 1 000 000,0.323,Estonia
2066,Gamma-aminobutyric acid transaminase deficiency,Cases/families,Family(ies),,3.0,Worldwide
2066,Gamma-aminobutyric acid transaminase deficiency,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
213531,Metaplastic carcinoma of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.06,Europe
213531,Metaplastic carcinoma of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.081,Austria
213531,Metaplastic carcinoma of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.027,Bulgaria
213531,Metaplastic carcinoma of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.059,Croatia
213531,Metaplastic carcinoma of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.074,Estonia
213531,Metaplastic carcinoma of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.065,Finland
213531,Metaplastic carcinoma of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.043,Iceland
213531,Metaplastic carcinoma of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.096,Ireland
213531,Metaplastic carcinoma of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.084,Italy
213531,Metaplastic carcinoma of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.06,Latvia
213531,Metaplastic carcinoma of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.031,Malta
213531,Metaplastic carcinoma of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.045,Poland
213531,Metaplastic carcinoma of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.082,Portugal
213531,Metaplastic carcinoma of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.074,Slovakia
213531,Metaplastic carcinoma of the breast,Annual incidence,Value and class,<1 / 1 000 000,0.07,United Kingdom
213531,Metaplastic carcinoma of the breast,Annual incidence,Value and class,1-9 / 1 000 000,0.226,Belgium
213531,Metaplastic carcinoma of the breast,Annual incidence,Value and class,1-9 / 1 000 000,0.11,Czech Republic
213531,Metaplastic carcinoma of the breast,Annual incidence,Value and class,1-9 / 1 000 000,0.136,Germany
213531,Metaplastic carcinoma of the breast,Annual incidence,Value and class,1-9 / 1 000 000,0.108,Lithuania
213531,Metaplastic carcinoma of the breast,Annual incidence,Value and class,1-9 / 1 000 000,0.104,Norway
213531,Metaplastic carcinoma of the breast,Annual incidence,Value and class,1-9 / 1 000 000,0.163,Slovenia
213531,Metaplastic carcinoma of the breast,Annual incidence,Value and class,1-9 / 1 000 000,0.128,Spain
213531,Metaplastic carcinoma of the breast,Annual incidence,Value and class,1-9 / 1 000 000,0.135,Switzerland
213531,Metaplastic carcinoma of the breast,Annual incidence,Value and class,1-9 / 1 000 000,0.238,Netherlands
213528,Rare adenocarcinoma of the breast,Annual incidence,Value and class,1-9 / 100 000,3.55,Europe
213528,Rare adenocarcinoma of the breast,Annual incidence,Value and class,1-9 / 1 000 000,0.898,Lithuania
213528,Rare adenocarcinoma of the breast,Annual incidence,Value and class,1-9 / 100 000,2.325,Austria
213528,Rare adenocarcinoma of the breast,Annual incidence,Value and class,1-9 / 100 000,2.221,Belgium
213528,Rare adenocarcinoma of the breast,Annual incidence,Value and class,1-9 / 100 000,2.397,Bulgaria
213528,Rare adenocarcinoma of the breast,Annual incidence,Value and class,1-9 / 100 000,2.175,Croatia
213528,Rare adenocarcinoma of the breast,Annual incidence,Value and class,1-9 / 100 000,2.717,Czech Republic
213528,Rare adenocarcinoma of the breast,Annual incidence,Value and class,1-9 / 100 000,3.371,Estonia
213528,Rare adenocarcinoma of the breast,Annual incidence,Value and class,1-9 / 100 000,2.615,Finland
213528,Rare adenocarcinoma of the breast,Annual incidence,Value and class,1-9 / 100 000,3.812,Germany
213528,Rare adenocarcinoma of the breast,Annual incidence,Value and class,1-9 / 100 000,2.428,Iceland
213528,Rare adenocarcinoma of the breast,Annual incidence,Value and class,1-9 / 100 000,2.305,Ireland
213528,Rare adenocarcinoma of the breast,Annual incidence,Value and class,1-9 / 100 000,4.103,Italy
213528,Rare adenocarcinoma of the breast,Annual incidence,Value and class,1-9 / 100 000,1.191,Latvia
213528,Rare adenocarcinoma of the breast,Annual incidence,Value and class,1-9 / 100 000,2.199,Malta
213528,Rare adenocarcinoma of the breast,Annual incidence,Value and class,1-9 / 100 000,3.017,Norway
213528,Rare adenocarcinoma of the breast,Annual incidence,Value and class,1-9 / 100 000,1.812,Poland
213528,Rare adenocarcinoma of the breast,Annual incidence,Value and class,1-9 / 100 000,1.697,Portugal
213528,Rare adenocarcinoma of the breast,Annual incidence,Value and class,1-9 / 100 000,2.171,Slovakia
213528,Rare adenocarcinoma of the breast,Annual incidence,Value and class,1-9 / 100 000,2.315,Slovenia
213528,Rare adenocarcinoma of the breast,Annual incidence,Value and class,1-9 / 100 000,2.142,Spain
213528,Rare adenocarcinoma of the breast,Annual incidence,Value and class,1-9 / 100 000,3.187,Switzerland
213528,Rare adenocarcinoma of the breast,Annual incidence,Value and class,1-9 / 100 000,3.264,Netherlands
213528,Rare adenocarcinoma of the breast,Annual incidence,Value and class,1-9 / 100 000,3.638,United Kingdom
3188,Congenital pulmonary veins atresia or stenosis,Point prevalence,Class only,Unknown,0.0,Worldwide
860,Congenitally uncorrected transposition of the great arteries,Prevalence at birth,Value and class,1-5 / 10 000,25.0,Worldwide
860,Congenitally uncorrected transposition of the great arteries,Prevalence at birth,Value and class,1-5 / 10 000,24.25,Europe
860,Congenitally uncorrected transposition of the great arteries,Point prevalence,Class only,Unknown,0.0,Worldwide
185,Scimitar syndrome,Prevalence at birth,Value and class,1-9 / 100 000,2.0,Europe
185,Scimitar syndrome,Point prevalence,Class only,Unknown,0.0,Worldwide
3189,Congenital pulmonary valvar stenosis,Prevalence at birth,Value and class,1-5 / 10 000,27.2,France
3189,Congenital pulmonary valvar stenosis,Prevalence at birth,Value and class,1-5 / 10 000,19.6,Austria
3189,Congenital pulmonary valvar stenosis,Prevalence at birth,Value and class,1-5 / 10 000,29.1,Belgium
3189,Congenital pulmonary valvar stenosis,Prevalence at birth,Value and class,1-5 / 10 000,14.6,Croatia
3189,Congenital pulmonary valvar stenosis,Prevalence at birth,Value and class,1-5 / 10 000,59.5,Denmark
3189,Congenital pulmonary valvar stenosis,Prevalence at birth,Value and class,6-9 / 10 000,63.6,Germany
3189,Congenital pulmonary valvar stenosis,Prevalence at birth,Value and class,6-9 / 10 000,63.1,Hungary
3189,Congenital pulmonary valvar stenosis,Prevalence at birth,Value and class,1-9 / 100 000,3.6,Ireland
3189,Congenital pulmonary valvar stenosis,Prevalence at birth,Value and class,1-5 / 10 000,26.1,Italy
3189,Congenital pulmonary valvar stenosis,Prevalence at birth,Value and class,1-5 / 10 000,48.2,Malta
3189,Congenital pulmonary valvar stenosis,Prevalence at birth,Value and class,1-9 / 100 000,6.3,Netherlands
3189,Congenital pulmonary valvar stenosis,Prevalence at birth,Value and class,1-5 / 10 000,35.3,Norway
3189,Congenital pulmonary valvar stenosis,Prevalence at birth,Value and class,1-5 / 10 000,11.4,Poland
3189,Congenital pulmonary valvar stenosis,Prevalence at birth,Value and class,1-5 / 10 000,23.7,Portugal
3189,Congenital pulmonary valvar stenosis,Prevalence at birth,Value and class,1-5 / 10 000,25.7,Spain
3189,Congenital pulmonary valvar stenosis,Prevalence at birth,Value and class,6-9 / 10 000,98.4,Switzerland
3189,Congenital pulmonary valvar stenosis,Prevalence at birth,Value and class,1-5 / 10 000,42.5,United Kingdom
3189,Congenital pulmonary valvar stenosis,Prevalence at birth,Value and class,1-5 / 10 000,19.4,Ukraine
3189,Congenital pulmonary valvar stenosis,Prevalence at birth,Class only,1-5 / 10 000,0.0,Europe
3189,Congenital pulmonary valvar stenosis,Point prevalence,Class only,Unknown,0.0,Europe
1464,Univentricular heart,Prevalence at birth,Value and class,1-9 / 100 000,7.5,Worldwide
1464,Univentricular heart,Point prevalence,Class only,Unknown,0.0,Worldwide
3400,Aorto-ventricular tunnel,Cases/families,Case(s),,130.0,Worldwide
3400,Aorto-ventricular tunnel,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
213716,Squamous cell carcinoma of the corpus uteri,Annual incidence,Value and class,1-9 / 1 000 000,0.12,Europe
213716,Squamous cell carcinoma of the corpus uteri,Annual incidence,Value and class,<1 / 1 000 000,0.039,Belgium
213716,Squamous cell carcinoma of the corpus uteri,Annual incidence,Value and class,<1 / 1 000 000,0.014,Croatia
213716,Squamous cell carcinoma of the corpus uteri,Annual incidence,Value and class,<1 / 1 000 000,0.012,Finland
213716,Squamous cell carcinoma of the corpus uteri,Annual incidence,Value and class,<1 / 1 000 000,0.044,Germany
213716,Squamous cell carcinoma of the corpus uteri,Annual incidence,Value and class,<1 / 1 000 000,0.083,Ireland
213716,Squamous cell carcinoma of the corpus uteri,Annual incidence,Value and class,<1 / 1 000 000,0.031,Malta
213716,Squamous cell carcinoma of the corpus uteri,Annual incidence,Value and class,<1 / 1 000 000,0.011,Norway
213716,Squamous cell carcinoma of the corpus uteri,Annual incidence,Value and class,<1 / 1 000 000,0.045,Portugal
213716,Squamous cell carcinoma of the corpus uteri,Annual incidence,Value and class,<1 / 1 000 000,0.034,Slovakia
213716,Squamous cell carcinoma of the corpus uteri,Annual incidence,Value and class,<1 / 1 000 000,0.019,Slovenia
213716,Squamous cell carcinoma of the corpus uteri,Annual incidence,Value and class,<1 / 1 000 000,0.039,Spain
213716,Squamous cell carcinoma of the corpus uteri,Annual incidence,Value and class,<1 / 1 000 000,0.056,Switzerland
213716,Squamous cell carcinoma of the corpus uteri,Annual incidence,Value and class,<1 / 1 000 000,0.018,Netherlands
213716,Squamous cell carcinoma of the corpus uteri,Annual incidence,Value and class,<1 / 1 000 000,0.041,United Kingdom
213716,Squamous cell carcinoma of the corpus uteri,Annual incidence,Value and class,1-9 / 1 000 000,0.117,Austria
213716,Squamous cell carcinoma of the corpus uteri,Annual incidence,Value and class,1-9 / 1 000 000,0.12,Bulgaria
213716,Squamous cell carcinoma of the corpus uteri,Annual incidence,Value and class,1-9 / 1 000 000,0.177,Czech Republic
213716,Squamous cell carcinoma of the corpus uteri,Annual incidence,Value and class,1-9 / 1 000 000,0.139,Estonia
213716,Squamous cell carcinoma of the corpus uteri,Annual incidence,Value and class,1-9 / 1 000 000,0.113,Italy
213716,Squamous cell carcinoma of the corpus uteri,Annual incidence,Value and class,1-9 / 1 000 000,0.173,Latvia
213716,Squamous cell carcinoma of the corpus uteri,Annual incidence,Value and class,1-9 / 1 000 000,0.228,Lithuania
213716,Squamous cell carcinoma of the corpus uteri,Annual incidence,Value and class,1-9 / 1 000 000,0.106,Poland
213746,Transitional cell carcinoma of the corpus uteri,Annual incidence,Class only,<1 / 1 000 000,0.0,Europe
3261,Autoimmune lymphoproliferative syndrome,Cases/families,Case(s),,500.0,Worldwide
3261,Autoimmune lymphoproliferative syndrome,Point prevalence,Class only,Unknown,0.0,Worldwide
2849,Perlman syndrome,Cases/families,Case(s),,32.0,Worldwide
2849,Perlman syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
213772,Adenocarcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 100 000,1.01,Europe
213772,Adenocarcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 1 000 000,0.762,Austria
213772,Adenocarcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 1 000 000,0.966,Belgium
213772,Adenocarcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 1 000 000,0.968,Croatia
213772,Adenocarcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 1 000 000,0.85,Estonia
213772,Adenocarcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 1 000 000,0.899,Finland
213772,Adenocarcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 1 000 000,0.987,Germany
213772,Adenocarcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 1 000 000,0.789,Ireland
213772,Adenocarcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 1 000 000,0.734,Italy
213772,Adenocarcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 1 000 000,0.774,Latvia
213772,Adenocarcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 1 000 000,0.471,Malta
213772,Adenocarcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 1 000 000,0.766,Poland
213772,Adenocarcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 1 000 000,0.868,Spain
213772,Adenocarcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 1 000 000,0.738,Switzerland
213772,Adenocarcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 1 000 000,0.765,Netherlands
213772,Adenocarcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 1 000 000,0.918,United Kingdom
213772,Adenocarcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 100 000,1.108,Bulgaria
213772,Adenocarcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 100 000,1.108,Czech Republic
213772,Adenocarcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 100 000,1.065,Iceland
213772,Adenocarcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 100 000,1.118,Lithuania
213772,Adenocarcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 100 000,1.177,Norway
213772,Adenocarcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 100 000,1.007,Portugal
213772,Adenocarcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 100 000,1.048,Slovakia
213772,Adenocarcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 100 000,1.12,Slovenia
213767,Squamous cell carcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 100 000,4.28,Europe
213767,Squamous cell carcinoma of the cervix uteri,Annual incidence,Value and class,1-5 / 10 000,11.822,Bulgaria
213767,Squamous cell carcinoma of the cervix uteri,Annual incidence,Value and class,1-5 / 10 000,10.336,Estonia
213767,Squamous cell carcinoma of the cervix uteri,Annual incidence,Value and class,1-5 / 10 000,11.192,Lithuania
213767,Squamous cell carcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 100 000,4.104,Austria
213767,Squamous cell carcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 100 000,4.67,Belgium
213767,Squamous cell carcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 100 000,5.539,Croatia
213767,Squamous cell carcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 100 000,8.277,Czech Republic
213767,Squamous cell carcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 100 000,1.885,Finland
213767,Squamous cell carcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 100 000,4.871,Germany
213767,Squamous cell carcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 100 000,3.707,Iceland
213767,Squamous cell carcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 100 000,4.204,Ireland
213767,Squamous cell carcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 100 000,3.307,Italy
213767,Squamous cell carcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 100 000,7.362,Latvia
213767,Squamous cell carcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 100 000,1.759,Malta
213767,Squamous cell carcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 100 000,4.756,Norway
213767,Squamous cell carcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 100 000,7.941,Poland
213767,Squamous cell carcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 100 000,5.478,Portugal
213767,Squamous cell carcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 100 000,8.555,Slovakia
213767,Squamous cell carcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 100 000,7.507,Slovenia
213767,Squamous cell carcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 100 000,2.867,Spain
213767,Squamous cell carcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 100 000,2.657,Switzerland
213767,Squamous cell carcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 100 000,3.063,Netherlands
213767,Squamous cell carcinoma of the cervix uteri,Annual incidence,Value and class,1-9 / 100 000,3.312,United Kingdom
213792,Adenosarcoma of the cervix uteri,Annual incidence,Class only,<1 / 1 000 000,0.0,Worldwide
213787,Carcinosarcoma of the cervix uteri,Annual incidence,Class only,<1 / 1 000 000,0.0,Worldwide
213812,Primitive neuroectodermal tumor of the cervix uteri,Annual incidence,Class only,<1 / 1 000 000,0.0,Worldwide
747,Autoimmune pulmonary alveolar proteinosis,Annual incidence,Value and class,1-9 / 1 000 000,0.165,Japan
747,Autoimmune pulmonary alveolar proteinosis,Point prevalence,Value and class,1-9 / 1 000 000,2.66,Japan
747,Autoimmune pulmonary alveolar proteinosis,Point prevalence,Value and class,1-9 / 1 000 000,2.66,Worldwide
747,Autoimmune pulmonary alveolar proteinosis,Point prevalence,Value and class,1-9 / 1 000 000,0.687,United States
213807,Leiomyosarcoma of the cervix uteri,Annual incidence,Class only,<1 / 1 000 000,0.0,Worldwide
2953,Musculocontractural Ehlers-Danlos syndrome,Cases/families,Case(s),,34.0,Worldwide
2953,Musculocontractural Ehlers-Danlos syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
3082,Intellectual disability-polydactyly-uncombable hair syndrome,Cases/families,Case(s),,2.0,Worldwide
3082,Intellectual disability-polydactyly-uncombable hair syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
782,Axenfeld-Rieger syndrome,Point prevalence,Value and class,1-9 / 1 000 000,0.5,Europe
3269,Isolated radio-ulnar synostosis,Cases/families,Case(s),,350.0,Worldwide
3269,Isolated radio-ulnar synostosis,Point prevalence,Class only,Unknown,0.0,Worldwide
3259,Syndactyly-polydactyly-ear lobe syndrome,Cases/families,Case(s),,10.0,Worldwide
3259,Syndactyly-polydactyly-ear lobe syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
3309,Tetrasomy 5p syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
216675,Transposition of the great arteries,Prevalence at birth,Value and class,1-5 / 10 000,31.7,Europe
216675,Transposition of the great arteries,Prevalence at birth,Value and class,1-5 / 10 000,50.0,United States
216675,Transposition of the great arteries,Prevalence at birth,Value and class,1-5 / 10 000,23.3,Belgium
216675,Transposition of the great arteries,Prevalence at birth,Value and class,1-5 / 10 000,59.5,Denmark
216675,Transposition of the great arteries,Prevalence at birth,Value and class,1-5 / 10 000,33.4,France
216675,Transposition of the great arteries,Prevalence at birth,Value and class,1-5 / 10 000,47.5,Germany
216675,Transposition of the great arteries,Prevalence at birth,Value and class,1-5 / 10 000,28.8,Hungary
216675,Transposition of the great arteries,Prevalence at birth,Value and class,1-5 / 10 000,18.1,Ireland
216675,Transposition of the great arteries,Prevalence at birth,Value and class,1-5 / 10 000,22.6,Italy
216675,Transposition of the great arteries,Prevalence at birth,Value and class,1-5 / 10 000,40.9,Netherlands
216675,Transposition of the great arteries,Prevalence at birth,Value and class,1-5 / 10 000,31.1,Norway
216675,Transposition of the great arteries,Prevalence at birth,Value and class,1-5 / 10 000,14.0,Poland
216675,Transposition of the great arteries,Prevalence at birth,Value and class,1-9 / 100 000,4.7,Portugal
216675,Transposition of the great arteries,Prevalence at birth,Value and class,1-5 / 10 000,15.7,Spain
216675,Transposition of the great arteries,Prevalence at birth,Value and class,1-5 / 10 000,37.7,Switzerland
216675,Transposition of the great arteries,Prevalence at birth,Value and class,1-5 / 10 000,33.9,United Kingdom
216675,Transposition of the great arteries,Prevalence at birth,Value and class,1-5 / 10 000,22.3,Ukraine
216675,Transposition of the great arteries,Point prevalence,Class only,1-5 / 10 000,0.0,Europe
216694,Congenitally corrected transposition of the great arteries,Prevalence at birth,Value and class,1-9 / 100 000,3.0,Worldwide
216694,Congenitally corrected transposition of the great arteries,Point prevalence,Class only,Unknown,0.0,Worldwide
216718,Isolated congenitally uncorrected transposition of the great arteries,Point prevalence,Class only,Unknown,0.0,Worldwide
216729,Congenitally uncorrected transposition of the great arteries with cardiac malformation,Point prevalence,Class only,Unknown,0.0,Worldwide
3411,Double uterus-hemivagina-renal agenesis syndrome,Cases/families,Case(s),,60.0,Worldwide
3411,Double uterus-hemivagina-renal agenesis syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
882,Tyrosinemia type 1,Prevalence at birth,Value and class,1-9 / 1 000 000,0.9,Worldwide
882,Tyrosinemia type 1,Prevalence at birth,Value and class,1-9 / 100 000,1.5,Norway
882,Tyrosinemia type 1,Prevalence at birth,Value and class,1-9 / 100 000,1.1,Finland
882,Tyrosinemia type 1,Prevalence at birth,Value and class,1-9 / 100 000,6.7,Tunisia
882,Tyrosinemia type 1,Prevalence at birth,Value and class,1-9 / 100 000,6.25,Specific population
882,Tyrosinemia type 1,Prevalence at birth,Value and class,1-5 / 10 000,54.0,Specific population
882,Tyrosinemia type 1,Point prevalence,Class only,Unknown,0.0,Europe
216796,Osteogenesis imperfecta type 1,Point prevalence,Class only,Unknown,0.0,Worldwide
216796,Osteogenesis imperfecta type 1,Prevalence at birth,Value and class,1-9 / 100 000,5.16,Sweden
903,Von Willebrand disease,Point prevalence,Value and class,1-5 / 10 000,10.0,Worldwide
216804,Osteogenesis imperfecta type 2,Point prevalence,Class only,Unknown,0.0,Worldwide
216812,Osteogenesis imperfecta type 3,Point prevalence,Class only,Unknown,0.0,Worldwide
216812,Osteogenesis imperfecta type 3,Prevalence at birth,Value and class,1-9 / 1 000 000,0.89,Sweden
216820,Osteogenesis imperfecta type 4,Point prevalence,Class only,Unknown,0.0,Worldwide
216820,Osteogenesis imperfecta type 4,Prevalence at birth,Value and class,1-9 / 100 000,1.35,Sweden
216828,Osteogenesis imperfecta type 5,Cases/families,Case(s),,47.0,Worldwide
216828,Osteogenesis imperfecta type 5,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
3474,CHIME syndrome,Cases/families,Case(s),,8.0,Worldwide
3474,CHIME syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1441,Ring chromosome 17 syndrome,Cases/families,Case(s),,18.0,Worldwide
1441,Ring chromosome 17 syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
216978,"Niemann-Pick disease type C, late infantile neurologic onset",Point prevalence,Class only,Unknown,0.0,Worldwide
361,Familial glucocorticoid deficiency,Point prevalence,Value and class,1-9 / 1 000 000,0.4953,Ireland
361,Familial glucocorticoid deficiency,Point prevalence,Class only,Unknown,0.0,Worldwide
216975,"Niemann-Pick disease type C, severe early infantile neurologic onset",Point prevalence,Class only,Unknown,0.0,Worldwide
