OrphaCode,DiseaseName,PrevalenceType,PrevalenceQualification,PrevalenceClass,ValMoy,PrevalenceGeographic
70591,Chronic thromboembolic pulmonary hypertension,Annual incidence,Value and class,1-9 / 100 000,1.9,Japan
70592,Transient predisposition to invasive pyogenic bacterial infection,Cases/families,Case(s),,49.0,Worldwide
70592,Transient predisposition to invasive pyogenic bacterial infection,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
70589,Bronchopulmonary dysplasia,Point prevalence,Value and class,1-5 / 10 000,13.0,Europe
70595,Sensory ataxic neuropathy-dysarthria-ophthalmoparesis syndrome,Point prevalence,Class only,Unknown,0.0,Worldwide
70596,Congenital Epstein-Barr virus infection,Point prevalence,Class only,Unknown,0.0,Worldwide
70593,Immunodeficiency due to selective anti-polysaccharide antibody deficiency,Point prevalence,Class only,Unknown,0.0,Worldwide
70594,Dopa-responsive dystonia due to sepiapterin reductase deficiency,Cases/families,Case(s),,43.0,Worldwide
70594,Dopa-responsive dystonia due to sepiapterin reductase deficiency,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
70578,Adult acute respiratory distress syndrome,Annual incidence,Value and class,6-9 / 10 000,64.0,United States
70578,Adult acute respiratory distress syndrome,Point prevalence,Value and class,1-5 / 10 000,51.0,United States
70578,Adult acute respiratory distress syndrome,Annual incidence,Value and class,1-5 / 10 000,11.5,Iceland
70578,Adult acute respiratory distress syndrome,Annual incidence,Value and class,1-9 / 100 000,7.2,Spain
70578,Adult acute respiratory distress syndrome,Annual incidence,Value and class,1-9 / 100 000,4.9,Finland
70578,Adult acute respiratory distress syndrome,Annual incidence,Value and class,1-5 / 10 000,13.5,Sweden
70578,Adult acute respiratory distress syndrome,Annual incidence,Value and class,1-5 / 10 000,13.5,Denmark
70578,Adult acute respiratory distress syndrome,Point prevalence,Class only,1-5 / 10 000,0.0,Europe
70573,Small cell lung cancer,Point prevalence,Value and class,1-5 / 10 000,12.0,Europe
70568,Post-transplant lymphoproliferative disease,Point prevalence,Value and class,1-5 / 10 000,26.2,Europe
70588,Meconium aspiration syndrome,Point prevalence,Value and class,1-9 / 100 000,2.44,Europe
70472,"Congenital lactic acidosis, Saguenay-Lac-Saint-Jean type",Point prevalence,Class only,Unknown,0.0,Worldwide
70567,Cholangiocarcinoma,Annual incidence,Value and class,1-9 / 100 000,4.2,Worldwide
70567,Cholangiocarcinoma,Point prevalence,Value and class,1-9 / 100 000,2.1,Worldwide
70567,Cholangiocarcinoma,Annual incidence,Value and class,1-9 / 100 000,1.0,United States
70567,Cholangiocarcinoma,Annual incidence,Value and class,>1 / 1000,113.0,Thailand
70567,Cholangiocarcinoma,Annual incidence,Value and class,1-9 / 100 000,5.5,Japan
70567,Cholangiocarcinoma,Annual incidence,Value and class,1-9 / 1 000 000,0.1,Australia
70567,Cholangiocarcinoma,Annual incidence,Value and class,1-9 / 100 000,4.0,Europe
70567,Cholangiocarcinoma,Point prevalence,Class only,1-9 / 100 000,0.0,Europe
70482,Carcinoma of esophagus,Annual incidence,Value and class,1-9 / 100 000,7.0,Worldwide
70482,Carcinoma of esophagus,Point prevalence,Value and class,1-9 / 100 000,7.1,Europe
70482,Carcinoma of esophagus,Annual incidence,Value and class,1-9 / 100 000,6.67,Europe
70482,Carcinoma of esophagus,Lifetime Prevalence,Value and class,1-5 / 10 000,12.2,Europe
